day	S
1070	2.817300421
1071	2.818702043
1072	2.818098146
1073	2.819724249
1074	2.823520131
1075	2.827428142
1076	2.829647091
1077	2.833207417
1078	2.838774368
1079	2.843338954
1080	2.848346017
1081	2.853962724
1082	2.857098736
1083	2.861236459
1084	2.867161757
1085	2.873864312
1086	2.877190223
1087	2.878465178
1088	2.879302141
1089	2.88172442
1090	2.88407074
1091	2.885823124
1092	2.88846167
1093	2.89189671
1094	2.89659736
1095	2.901694932
1096	2.906782262
1097	2.911465322
1098	2.914101583
1099	2.915322206
1100	2.915546714
1101	2.915287139
1102	2.915879757
1103	2.917101733
1104	2.917690303
1105	2.917981602
1106	2.917778778
1107	2.916783893
1108	2.914641607
1109	2.915261717
1110	2.915420115
1111	2.915107118
1112	2.917228696
1113	2.919626118
1114	2.924267453
1115	2.929590785
1116	2.932553966
1117	2.936139824
1118	2.940072596
1119	2.942269684
1120	2.942300575
1121	2.943029978
1122	2.942106445
1123	2.94534787
1124	2.950342001
1125	2.955564286
1126	2.959855548
1127	2.964674231
1128	2.96797409
1129	2.970010924
1130	2.970574696
1131	2.971111897
1132	2.969475952
1133	2.969220331
1134	2.972138631
1135	2.976838392
1136	2.979370931
1137	2.979536363
1138	2.980065372
1139	2.980498195
1140	2.981655018
1141	2.982497479
1142	2.984697501
1143	2.985229689
1144	2.985120932
1145	2.986356076
1146	2.985026331
1147	2.984696404
1148	2.985410371
1149	2.985190768
1150	2.984346492
1151	2.985547215
1152	2.986405504
1153	2.984164007
1154	2.982743863
1155	2.984572126
1156	2.988755528
1157	2.991843673
1158	2.994495493
1159	2.995846851
1160	2.999402402
1161	3.003248457
1162	3.007575283
1163	3.011357479
1164	3.009239487
1165	3.004532001
1166	2.998755589
1167	2.99615613
1168	2.995864896
1169	2.996827063
1170	2.997895741
1171	2.99776634
1172	2.99806146
1173	2.997009659
1174	2.99480345
1175	2.991974855
1176	2.989693472
1177	2.989550983
1178	2.992081687
1179	2.993497468
1180	2.99081596
1181	2.99046336
1182	2.989909101
1183	2.987335096
1184	2.987868066
1185	2.987441538
1186	2.985505986
1187	2.982523307
1188	2.978955753
1189	2.975875866
1190	2.974301241
1191	2.973347256
